Geography,Wages (1),Type of work,North American Industry Classification System (NAICS) (4),Sex,Age group,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15
Ontario,Average weekly wage rate,Both full- and part-time employees,Construction [23] ,Both sexes,15 to 24 years,469.6,465.36,478.48,487.49,443.17,460.97,465.45,460.12,497.3,460.19,503.32,509.29,493.47,430.08,477.5,438.63,420.47,426.19,421.08,455.05,498.63,487.46,492.22,494.53,499.8,513.77,523.8,522.55,528.37,489.21,468.91,477.98,485.09,500.79,518.31,509.74,524.23,543.62,521.29,521.52,516.83,541.88,506.7,524.09,508.62,493.68,483.8,538.5,497.41,477.08,482.08,544.47,591.27,525.3,512.96,505.09,506.26,548.41,517.8,483.9,464.39,523.81,494.57,488.34,525.06,557.93,541.84,509.44,524.14,528.8,540.08,534.73,614.64,593.49,565.71,630.36,596.41,590.22,551.06,526.72,577.34,589.07,580.87,585.51,611.14,603.88,579.88,590.11,572.64,586.47,567.25,533.14,576.19,544.49,538.16,582.19,587.42,608.92,590.47,641.68,596.6,588.67,595.32,576.12,662.38,631.88,675.85,635.85,607.67,599.71,628.05,607,586.15,588.26,577.82,591.79,609.9,581.49,581.61,622.49,608.5,571.23,575.75,582.02,584.61,592.17,591.34,569.71,666.92,644.64,647.55,617.49,613.19,601.66,576.27,575.93,633.35,649.12,634.78,672.94,650.48,689.51,700.94,700.26,671.06,665.87,632.72,652.73,594.34,584.92,576.12,570.39,583.72,623.54,626.88,627.91,557.9,560.31,604.39,624.4,637.92,609.13,652.91,638.96,694.85,689.66,686.32,712.8,680,713.76,729.53,716.63,755.93,746.27,685.38,645.01,659.58,614.43,609.27,608.54,608.87
Ontario,Average weekly wage rate,Both full- and part-time employees,Manufacturing [31-33] ,Both sexes,15 to 24 years,454.59,458.14,452.37,455.58,474.76,474.82,467.13,468.68,472.86,453.73,473.43,465.61,471.75,493.27,479.1,497.77,500.26,475.63,462.33,439.46,459.54,465.22,475.62,458.06,502.79,500.75,479.59,481.1,465.34,469.17,482.43,489,476.91,499.98,501.09,481.2,496.04,473.01,477.75,490.4,511.43,509.68,504.52,495.45,525.82,500,484.72,517.74,512.94,473.12,482.17,479.19,480.75,481.53,468.76,486.21,497.16,484.26,473.43,476.07,475.73,492.11,478.63,494.1,492.55,482.46,483.02,500.9,522.09,501.27,488.97,484.4,509.83,498.28,495.97,535.54,552.95,507.9,521.3,501.91,497.56,504,510.37,522.6,458.3,497.65,506.1,488.4,485.97,503.14,493.84,481.72,470.87,474.52,492.93,493.62,521.74,495.67,488.65,529.32,551.94,549.46,540.17,530.96,511.71,540.99,518.41,514.52,529.4,513.41,515.76,524.94,545.46,563.22,556.6,566.74,586.32,596.29,584.69,578.06,612.44,596.36,584.28,536.28,512.44,546.69,549.74,527.02,503.26,568.95,568.77,557.98,547.11,572.27,560.5,511.46,519.98,516.63,550.44,550.7,547.32,515.68,498.72,507.73,509.56,525.73,532.13,581.18,567.04,591.04,571.14,558.45,550.63,544.07,551.73,540.94,538.18,520.53,552.02,520.9,580.02,571.12,548.88,566.7,569.66,554.28,526.15,533.21,573.65,612.77,576.25,587.82,577.72,572.66,579.83,549.02,583.21,554.41,582.27,598.17,598.76
Ontario,Average weekly wage rate,Both full- and part-time employees,Trade [41 44-45] ,Both sexes,15 to 24 years,212.39,196.83,208.88,199.58,203.96,209.69,232.34,240.7,206.24,197.2,198.6,204.97,208.2,209.83,201.43,219.07,237.45,233.92,247.85,255.45,232.8,213.44,206.51,209.61,208.18,203.88,204.99,215.81,221.17,229.08,244.14,242.17,210.83,202.45,198.25,196.45,205.03,200.36,208.04,214.23,218.45,230.37,244.05,248.99,209.67,214.89,225.09,215.87,209.68,208.42,208.23,212.59,223.84,240.65,245.46,253.61,222.66,216.59,216.84,216.99,219.04,214.64,203.52,214.75,232.56,226.11,261.21,259.09,231.48,234.81,236.88,227.33,230.09,219.58,233.18,226.96,245.64,249.32,265.25,267.72,246.44,241.72,223.89,227.9,218.27,214.68,222.2,216.22,237.65,254.04,278.29,290.36,252.23,237.64,219.28,218.08,219.95,217.47,213.9,229.57,245.6,258.52,273.41,275.31,250.62,245.78,244,240.86,233.98,232.24,244.11,241.06,249.08,252.21,266.47,270.68,241.57,247.18,244.02,239.83,228.45,243.15,237.13,236.91,251.36,272.87,294.71,288.71,259.37,252.69,251.44,245.4,227.6,234.44,241.84,238.44,278.63,282.44,309.15,298.81,274.92,272.63,255.43,267.38,268.06,269.74,266.64,263.8,278.4,284.74,289.98,292.55,269.65,265.94,254.83,259.23,244.47,242.28,243.55,253.05,284.18,277.62,290.45,286.41,258.26,260.03,261.75,268.04,268.7,268.31,256.47,267.72,286.45,301.87,310.73,320.6,278.07,288.69,274.7,274.17,270.01
Ontario,Average weekly wage rate,Both full- and part-time employees,Transportation and warehousing [48-49] ,Both sexes,15 to 24 years,349.43,372.27,390.36,382.92,390.05,403.7,393.15,382.62,329.04,355.7,327.19,315.8,340.64,424.75,363.51,437.23,437.97,432.67,439.57,416.89,428.59,423.63,418.06,414.69,460.02,404.98,367.4,372.99,385.46,376.42,446.97,414.83,415.31,452.07,387.28,401.99,451.96,437.1,417.69,532.74,449.46,414.43,472.92,428.51,384.18,399.5,434,431.19,433.15,455.78,422.08,428.8,449.01,423.39,392.46,372.26,369.59,392.26,399.33,450.81,429.15,481.72,474.04,440.05,474.5,539.06,443.54,443.52,436.06,364.82,377.16,368.42,397.55,410.32,464.78,472.25,594.9,521.33,480.15,464.63,402.68,455.8,462.05,476.57,393.41,387.03,391.73,389.24,460.76,430.94,431.07,405.95,520.7,553.91,564.45,572.34,512.33,462.11,439.62,445.21,486.91,503.06,457.38,464.18,487.3,502.46,490.56,530.53,519.12,579.05,627.94,585.73,534.78,469.07,494.03,482.24,523.14,439.87,588.61,561.39,457.52,435.66,456.95,456.59,514.76,542.61,539.42,552.93,495.45,498.08,480.53,474.44,435.94,339.55,455.02,409.75,454.84,499.83,527.22,445.72,470.87,542.13,477.76,438.49,396.53,453.84,377.46,476.26,514.79,589.9,559.64,648.84,557.22,594.31,483.07,483.6,517.46,583.02,562.74,523.78,508.55,523.47,482.13,507.58,469.81,553.06,512.39,536.78,533.21,509.34,486.75,506.94,502.02,510.08,608.39,470.16,476.69,487.63,567.77,534.42,372.75
Ontario,Average weekly wage rate,Both full- and part-time employees,"Finance, insurance, real estate and leasing [52-53] ",Both sexes,15 to 24 years,286.18,326.22,302.62,336.13,369.83,347.68,371.19,344.16,334.55,343.32,351.29,353.01,364.65,371.34,401.64,410.77,389.9,413.41,424.64,438.46,429.9,422.95,383.44,364.05,369.27,348.64,382.41,335.93,331.69,362.63,370.01,396.42,316.11,336.55,349.3,311.98,333.6,350.72,378.25,366.69,340.59,349.35,389.48,372.15,316.92,303.64,293.81,339.42,321.85,347.5,356.85,367.88,365.24,361.41,345.18,379.54,388.49,333.14,336,333.37,353.93,323.76,332.44,373,408.71,391.71,438.01,421.56,412.79,348.92,362.36,378.12,355.95,362.95,393.53,420.97,435.42,477.08,460.64,434.29,411.06,401.83,415.26,407.74,364.99,368.39,387.09,402.18,390.71,392.56,378.91,387.57,421.98,375.41,410.73,365.04,464.87,420.98,426.05,425.55,429.63,423.91,443.13,420.33,444.65,410.75,408.8,409.01,380.91,408.35,384.4,435.17,444.74,511.82,508.72,486.21,420.4,401.59,404.1,389.42,387.62,419.24,335.36,413.91,456.09,450.51,454.86,435.79,411.26,390.53,470.71,462.99,455.81,511.46,490.39,496.19,522.07,519.38,541.51,500.76,459.49,523.36,505.69,541.77,530.91,606.03,632.84,596.07,542.09,554.62,541.47,547.15,463.48,476.78,463.96,447.26,427.17,420.16,441.48,553.15,562.97,562.08,566.88,560.89,531.69,566.68,540.86,485.21,508.38,574,513.38,470.99,518.01,507.1,521.03,524.45,473.99,457.73,571.44,488.33,501.04
Ontario,Average weekly wage rate,Both full- and part-time employees,"Professional, scientific and technical services [54] ",Both sexes,15 to 24 years,500.23,475.61,490.9,476.97,539.58,446.36,444.2,500.07,519.45,541.99,467.34,457.14,484.58,462.49,462.49,456.65,467.18,486.32,500.21,525.99,520.16,553.92,497.5,486,410.4,449.9,444.58,536.78,490.56,466.83,459.61,500.54,536.63,512.34,476.56,453.76,457.56,456.97,445.06,422.63,450.03,447.51,447.7,519.76,466.6,412.64,414.9,381.41,404.67,448.54,453.31,443.51,520.56,517.04,500.39,509.3,489.95,491.49,516.16,471.01,460.09,492.99,459.23,447.52,474.73,535.64,567.55,531.64,532.34,464.77,504.73,481.61,415.59,421.94,456.38,446.88,495.09,439.66,415.64,469.87,540.47,531.78,524.55,530.94,522.41,429.53,472.05,458.88,543.23,539.62,534.74,610.38,616.4,575.51,590.59,579.8,536.93,560.94,538.91,595.67,587.27,560.71,567.95,582.75,638.18,601.37,546.76,518.63,577.05,559.3,632.38,630.16,587.53,605.89,639.24,572.29,520.18,569.58,543.85,589.27,538.6,493.89,463.01,536.27,536.95,585.04,604.89,628.54,650.06,610.58,555.83,561.68,474.35,588.14,622.71,533.16,590.6,564.81,615.39,647.4,649.26,647.44,590.57,579.79,598.88,612.87,573.09,617.19,668.92,654.46,637.19,613.25,569.4,550.1,509.48,543.64,579.96,572.75,534.82,654.37,613.42,606.66,587.62,575.88,530.52,602.92,696.02,641.06,617.28,663.66,605.11,598.75,616.12,574.63,603.86,609.6,574.31,554.45,560.85,557.15,531.1
Ontario,Average weekly wage rate,Both full- and part-time employees,"Business, building and other support services [55-56]  (6)",Both sexes,15 to 24 years,325.63,293.83,301.38,302.62,364.5,340.67,344.76,319.2,303.46,329.85,330.96,341.71,306.23,313.55,320.56,336.74,323.89,345.69,348.09,374.78,378.54,360.59,347.83,322.66,318.53,328.81,333.77,377.95,349.19,342.04,328.34,365.36,339.63,360.35,353.83,355.96,352.64,352.51,344.92,376.79,392.9,353.35,374.47,356.92,366.26,360.43,374.59,362.69,357.89,373.67,324.01,354.66,346.93,367.91,378.4,361,350.95,369.25,349.15,340.05,336.55,341.89,337.2,343.78,362.72,406.28,365.93,379.11,366.09,336.7,334.88,355.96,336.94,336.71,340.22,381.09,385.34,357.34,356.19,372.1,397.94,383.92,369.81,376.43,328.41,312.74,360.87,400.93,412.75,418.72,402.82,389.41,412.25,386.2,384.41,377.56,388.49,368.07,381.77,415.48,419.4,427.64,440.24,430.47,408.71,441.3,407.04,402.06,460.78,372.5,392.79,402.72,437.34,436.01,445.49,441.17,447.25,413.71,396.52,405.06,363.94,394.38,403.16,360.75,412.97,435.47,442.23,406.02,426.49,464.81,410.64,413.34,397.01,392.14,439.42,417.97,388.57,441.53,431.87,456.88,425.71,455.4,425.37,423.51,372.68,370.26,347.62,378.29,419.57,401.4,459.98,424.94,402.55,423.22,439.02,461.45,399.53,397.19,351.61,412.99,434.35,414.94,497.04,452.95,451.72,482.62,447.93,457.15,376.69,388.63,392.16,398.96,410.6,473.09,438.89,439.65,425.2,412.74,401.05,374.16,393.01
Ontario,Average weekly wage rate,Both full- and part-time employees,Educational services [61] ,Both sexes,15 to 24 years,234.64,221.43,230.81,253.69,303.2,342.02,307.28,316.78,279.22,229.08,209.12,218.87,233.48,217.58,230.43,253.57,312.41,347.31,347.56,383.12,287.63,288.29,257.36,212.01,218.88,209.06,234.07,250.14,320.81,345.75,337.8,394.7,321.65,271.04,253.84,289.37,284.55,256.72,218.3,253.53,271.52,305.69,332.96,327.24,249.35,189.98,210.9,195.04,208.87,222.84,258.19,294.61,320.31,350.92,362.15,355.89,272.39,219.35,224.22,243.93,218.43,214.33,224.15,233.12,293.08,311.19,322.74,332.86,228.23,198.87,211.6,233.55,259.93,250.28,235.07,265.82,348.31,332.36,399.03,403.66,305.66,243.87,172.17,253.36,235.01,255.77,244.71,333.35,392.86,346.32,404.67,366.34,303.68,249.59,215.92,216.26,198.2,234.3,244.46,253.79,407.29,385.34,434.81,458.29,290.18,267.73,250.8,265.05,297.96,330.19,270.46,299.05,335.09,426.91,364.81,401.69,344.22,246.74,237.4,267.43,227.34,273.95,275.54,257.75,298.92,364.12,372,397.9,373.03,261.64,228.75,264.32,258.5,275.16,284.84,287.79,404.52,402.42,487.61,459.98,338.95,318.81,266.71,229.26,261.26,245.67,217.87,244.54,349.8,410.95,478.9,501.75,352.52,277.93,266.97,243,240.13,247.02,234.92,238.23,355.52,367.33,428.39,403.48,376.47,292.45,270.86,269.59,235.14,261.07,265.43,248.24,302.49,384.09,420.83,420.22,342.4,318.9,321.89,296.61,261.53
Ontario,Average weekly wage rate,Both full- and part-time employees,Health care and social assistance [62] ,Both sexes,15 to 24 years,328.09,319.55,341.15,332.68,344.85,339.63,348.79,323.16,313.02,339.22,328.72,324.59,326.22,332.27,357.03,333.4,325.62,353.08,392.15,386.35,388.11,355.65,368.26,346.86,354.97,336.17,376.11,349.39,355.22,361.4,371.37,389.31,373.01,363.44,363.71,362.48,369.8,313.83,312.54,324.62,331.17,378.52,452.97,460.34,510.84,477.94,463.58,448.38,496.02,451.24,450.72,400.23,387.54,380.13,406.44,420.64,387.48,360.84,348.42,380.36,384.88,406.09,398.25,395.61,359.3,416.1,430.64,439.5,435.82,467.69,401.43,456.69,436.94,428.81,465.05,416.32,452.89,451.79,469.55,479.69,458.11,441.59,448.29,462.87,416.8,400.6,411.21,455.24,491.39,499.36,458.61,486.17,454.67,431.47,421.03,436.97,419.76,410.08,406.82,371.88,412.45,418.74,491.99,495.62,520.1,481,478.04,457.96,440.67,395,412.9,469.72,439.83,461.4,448.39,472.55,457.76,436.01,435.66,432.07,406.63,420.63,409.64,430.38,453.15,463.05,480.92,453.89,463.41,460.45,464.35,468.73,530.03,503.72,493.92,436.03,490.44,447.99,482.5,513.54,503.64,484.95,475.98,456.99,434.12,483.03,489.97,494.3,503.01,524.36,575.41,567.2,496.34,449.95,444.67,424.85,441.69,523.19,527.75,556.71,497.65,507.79,481.24,493.77,541.3,521.03,491.87,425.42,480.17,476.74,504.07,502.13,502.27,583.67,507.44,541.83,522.35,530.17,502.18,514.17,477
Ontario,Average weekly wage rate,Both full- and part-time employees,"Information, culture and recreation [51 71] ",Both sexes,15 to 24 years,241.67,254.23,278.42,288.19,268.27,292,331.65,306.38,256.98,254.76,275.67,273.74,245.17,238.63,282.58,316.49,324.66,319.36,339.33,330.47,247.49,227.07,245.18,250.04,267.1,259.25,255.96,244.51,288.51,266.49,283.19,270.32,180.91,196.92,200.46,236.96,236.47,226.13,242.12,268.34,259.76,250.28,276.51,279.61,237.77,243.6,246.93,247.7,218.99,212.14,197.75,200.97,230.52,258.09,296.88,292.04,266.09,230.87,232.43,190.65,199.59,229.18,241.38,250.42,250.03,275.51,310.79,323.33,267.43,241.09,256.81,252.94,235.98,243.25,268.94,257.26,258.79,268.73,312.45,339.9,260.76,225.28,229.84,226.29,249.12,240.44,229.87,276.56,289.56,309.75,330.11,341.6,304.06,251.9,250.91,278.6,240,265.06,253.39,276.5,326.29,311.58,332.3,350.8,269.79,269.05,214.48,201.76,218.5,221.22,237.5,290.06,321.22,298.87,359.62,330.56,300.77,234.82,241.25,254.15,214.15,215.31,245.86,246.47,284.74,301.37,316.05,334.05,272.92,251.11,233.12,209.61,238.42,273.57,265.94,234.4,325.06,293.07,336.19,342.35,288.71,320.59,306.33,244.32,237.83,217.19,221.01,236.01,272.75,299.82,368.35,379.74,282.11,231.69,244.52,211.77,245.57,218.71,239.01,255.38,279.81,290.39,359.46,381.17,224.93,217.02,219.2,205.41,204.22,239.48,246.46,275.66,299.45,297.65,360,368.91,309.81,259.37,277.69,299.62,279.79
Ontario,Average weekly wage rate,Both full- and part-time employees,Accommodation and food services [72] ,Both sexes,15 to 24 years,170.06,164.3,157.03,155.96,174.99,170.83,205.12,217.44,185.6,185.33,178.66,180.71,179.6,174.34,174.05,179.44,197.47,200.12,216.01,235.3,192.14,185.35,176.54,166.8,165.51,161.98,165.62,172.18,188.83,204.69,218.91,218.79,184.11,190.12,186.23,186.47,167.91,169.24,187.8,190.54,202.89,208.3,229.73,237.02,175.44,181.66,175.45,175.02,187.9,179.84,188.33,198.9,208.91,213.83,228.41,233.56,189.8,188.67,185,206.03,193.57,186.15,183.83,199.29,198.34,208.97,221.75,244.44,195.39,201.59,198.26,194.85,184.91,180.08,176.95,195.55,218.36,221.71,247.29,245.72,200.46,206.9,196.16,198.91,198.91,202.81,201.94,197.53,217.31,232.97,257.02,252.21,216.87,219.81,198.89,193.02,191.81,196.02,192.67,208.82,211.06,222.18,250.45,243.52,204.93,206.74,206.93,202.51,198.87,207.51,209.99,195.21,221.63,236.36,273.69,273.54,226.48,217.92,203.29,210.4,204.57,206.57,208.75,212.12,233.91,243.48,266.98,280.74,215.49,215.74,217.17,211.71,217.5,214.72,208.92,208.61,229.09,243.92,273.14,281.94,241.96,235.43,236.11,237.08,231.62,233.21,228.49,225.76,248.67,269.39,291.25,281.1,225.35,238.27,232.21,230.58,220.01,224.68,228.51,224.43,252.5,267.67,295.42,278.93,245.47,227.03,236.11,231.03,221.06,226.08,227.15,224.38,250.96,265.61,302.77,315.62,266.36,254.65,265.72,261.13,249.41
Ontario,Average weekly wage rate,Both full- and part-time employees,Other services [81] ,Both sexes,15 to 24 years,293.44,326.39,347.55,340.32,307.6,339.65,347.29,328.39,353.75,293.24,286.73,277.69,305.39,330.99,282.14,272.26,321.35,322.77,318.06,317.46,297.55,280.56,283.82,295.84,333.85,315.54,330.59,318.01,297.74,287.98,329.96,330.34,318.06,302.91,338.54,368.72,362.03,375.17,372.11,367.9,329.31,312.91,304.47,307.99,309.13,317.56,319.5,309.31,292.72,337.27,360.74,360.67,315.77,362.11,348.52,319.48,315.72,297.62,284.52,311.11,276.93,329.34,391.29,386.05,353.99,378.87,346.21,362.02,340.65,315.49,368.21,399.85,374.82,414.45,393.38,324.4,332.64,334.83,356.94,334.5,305.19,271.53,349.61,311.46,358.7,380.8,370.58,388.63,414.77,398.81,403.33,402.48,364.03,355.07,342.15,343.75,352.45,342.09,318.32,352.66,385.95,408.72,398.19,418.77,402.67,396.42,377.05,392.62,368.4,367.88,354.86,366.94,366.81,430.09,374.62,422.58,411.34,419.34,388.9,408.21,381.05,350.97,347.42,336.97,348.14,403.71,392.01,416.06,442.25,444.42,393.12,392.52,391.33,392.67,409.28,416.19,461.19,407.45,429.44,412.66,399.55,337.33,388.47,411.63,403.05,432.5,473.44,438.63,451.66,504.89,532.7,460.64,471.58,412.26,426.95,416.68,376.02,372.21,403.71,455.8,485.24,437.67,474.94,455.11,408.66,405.98,450.25,410.49,397.91,412.92,474.46,397.16,419.61,474,446.5,430.7,407.99,389.99,412.71,442.11,474.47
Ontario,Average weekly wage rate,Both full- and part-time employees,Public administration [91] ,Both sexes,15 to 24 years,375.4,381.2,406.31,340.86,391.19,441.58,384.46,386.72,414.86,397.46,372.77,367.8,352.56,336.31,385.29,323.4,410.37,405.17,384.29,396.98,480.73,436.72,392.58,429.43,385.88,397.8,399.69,411.98,492.21,473.03,422.26,405.87,393.76,456.69,443.31,401.72,476.77,551.89,604.45,574.3,562.91,503.11,460.95,461.95,503.6,435.11,471.88,384.99,344.32,491.47,468.67,445.31,470.27,473.84,406.22,413.69,389.58,417.53,405.21,421.44,428.85,420.58,344.54,487.21,504.35,473.41,473.21,501.46,419.28,404.38,306.43,326.89,289.37,337.46,355.96,387.3,411.87,475.71,468.22,472.96,395.15,347.8,455.34,403.74,389.72,459.67,496.24,473.54,486.7,473.69,454.66,441.12,414.18,386.76,394.91,395.85,420.11,356.97,392.55,399.36,409.8,423.08,423.76,470.41,425.69,470,477.22,394.66,300.4,382.26,442.72,434.34,489.2,653.5,571.94,519.47,525.81,553.26,490.66,535.53,589.29,570.98,492.94,521.68,486.22,493.81,445.25,481.68,414.3,432.8,461.74,391.46,452.24,467.39,462.3,468.19,489.26,492.95,504.53,504.97,411.16,497.18,499.2,372.19,384.84,490.97,535.7,520.12,444.2,542.96,553.38,515.67,517.02,530.21,523.25,516.05,428.55,377.11,397.63,437.74,569.39,499.36,519.33,525.65,458,513.06,447.4,345.63,358.99,394.23,362.17,340.34,528.17,447.83,500.8,493.09,376.83,414.7,339.85,394.02,319.97
Manitoba,Average weekly wage rate,Both full- and part-time employees,Agriculture [111-112 1100 1151-1152]  (11),Both sexes,15 to 24 years,360.42,356.34,333.8,381.68,354.53,335.36,365.75,400.51,353.09,344.35,288.14,251.89,306.38,228.37,220.19,304.42,309.83,270.83,274.22,277.45,305.86,283.62,282.99,275.43,320.58,323.17,250.66,244.18,246.32,276.85,315.17,342.58,377.11,338.77,290.13,328.71,267.36,354.3,338.37,325.99,467.52,449.77,419.92,397.33,358.77,406.32,366.34,326.63,384.14,393.54,396.96,320.87,370.29,344.37,347.82,361.41,313.56,320.93,343.16,281.92,302.26,221.94,376.72,319.07,369.79,364.76,305.22,362.34,390.71,385.03,330.99,324.62,331.3,399.13,289.22,331.48,517.52,421.1,399.56,551.65,467.42,451.78,459.76,578.04,297.78,380.29,306.52,294.75,318.71,286.73,372.48,363.65,430.65,566.34,489.81,392.55,311.83,528.58,514.12,384.67,428.38,336.62,399.95,371.02,334.99,351.75,389.15,387.47,310.02,307.15,504.19,329.65,382.04,431.6,416.66,356.85,438.87,446.84,584.34,493.68,593.51,418.47,457.03,629.45,729.96,581.61,420.47,546.36,393.46,498.75,521.38,412.36,502.88,488.26,448.31,393.17,465.99,508.34,464.65,458.5,485.66,465.4,522.45,370.97,336.01,428.07,472.23,279.22,465.75,370.9,349.91,381.57,507.02,533.67,536.45,365.17,321.44,317.66,379.51,310.33,355.95,394.57,420.35,398.75,428.23,521.13,468.05,446.15,425.56,497.22,421.26,374.11,332.16,330.48,502.16,448.66,487.08,514.16,508.76,535.36,545.28
Manitoba,Average weekly wage rate,Both full- and part-time employees,"Forestry, fishing, mining, quarrying, oil and gas [21 113-114 1153 2100]  (12,13)",Both sexes,15 to 24 years,x,x,x,x,456.24,354.69,586.69,475.21,568.83,661.69,700.15,807.13,851.3,x,654.11,792.09,519.34,517.69,x,489.07,x,x,x,670.66,821.64,546.25,572.81,x,x,x,403.39,x,x,x,x,x,x,x,x,x,x,541.91,521.05,622.01,805.71,x,x,x,899.18,761.11,825.39,x,787.48,659.94,633.24,589.33,667.49,694.66,x,x,x,674.34,x,x,560.44,694.22,552.64,604.16,x,x,x,581.51,641.2,704.28,621.66,547.31,541.03,452.54,628.67,667.76,793.14,679.09,x,801.5,546.02,680.56,x,x,462.51,804.77,743.01,634.91,584.27,781.46,709.78,847.97,829.15,828.11,811.7,1181.54,1180.68,576.77,x,x,x,x,1082.43,1066.08,960.6,1114.77,1128.65,1176.56,1066.39,872.63,781.89,1019.32,917.36,1017.43,905.22,x,x,847.91,928.59,1113,973.29,896.52,1087.39,927.66,1207.39,1115.85,1100.52,1017.3,969.99,952.18,1003.27,792.61,939.68,823.02,863.83,982.16,924.32,803.75,895,1079.99,x,x,1087.22,1171.32,1025.64,956.69,961.65,831.48,751.53,807.63,x,744.99,632.25,941.09,906.7,x,686.22,1007.07,1185.45,809.17,886.59,734.44,756.44,1118.63,750.06,813.21,1206.09,x,x,678.67,620.94,734.47,709.06,936.45,737.94,1142.6,1016.19
Manitoba,Average weekly wage rate,Both full- and part-time employees,Utilities [22] ,Both sexes,15 to 24 years,689.27,x,726.69,x,x,422.11,441.96,466.84,x,x,x,x,x,x,x,x,x,574.97,519.36,538.46,499.77,x,x,x,x,x,x,x,x,x,559.79,678.04,643.92,658.4,x,x,x,x,x,x,x,x,552.04,581.54,606.57,1071.47,751.66,632.72,x,x,x,x,484.18,486.8,476.17,478.31,648.97,x,x,x,x,x,x,x,x,x,612.45,606.59,643.02,x,697.53,665.84,x,657.91,x,596.27,742.92,696.41,x,x,x,x,x,535.27,x,x,660.93,x,629.34,681.4,508.88,x,389.74,418.13,x,x,x,602.98,682.45,687.84,686.51,659.37,702.38,658.53,671.2,x,x,x,668.09,644.1,653.35,672.54,663.9,611.37,696.29,639.53,576.22,605.33,625.77,808.34,697.79,706.23,699.79,839.63,878.82,694.12,724.68,646.46,x,x,x,x,564.74,585.43,623.97,615.68,664.74,x,x,x,x,730.04,744.11,467.14,734.44,530.81,535.8,653.07,x,745.99,924.02,1000.6,690.54,x,633.97,x,x,767.41,x,725.01,x,675.77,706.95,x,x,x,667.12,x,x,x,996.61,979.32,797.96,766.7,803.39,748.03,686.7,x,x,x,x
